path,code,title,author,year,underlying_rights,license,files,bytes,source_commit
dicts/abch/,abch,Abhidhānacintāmaṇi,Hemacandra,1896,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),4,587467,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/acc/,acc,Aufrecht's Catalogus Catalogorum,Theodor Aufrecht,1891,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),7,8232367,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/acph/,acph,Abhidhānacintāmaṇipariśiṣṭa,Hemacandra,1896,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),4,69409,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/acsj/,acsj,Abhidhānacintāmaṇiśiloñcha,Hemacandra,1896,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),4,55866,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/ap90/,ap90,Apte's Practical Sanskrit-English Dictionary,Vaman Shivram Apte,1890,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),8,12021198,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/ben/,ben,Benfey's Sanskrit-English Dictionary,Theodore Benfey,1866,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),4,6588898,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/bop/,bop,Bopp's Glossarium Sanscritum,Francisco Bopp,1847,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),4,2130052,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/bor/,bor,Borooah's English-Sanskrit Dictionary,Anundoram Borooah,1877-1881,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),4,5644520,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/bur/,bur,Burnouf's dictionnaire classique Sanscrit-Francais,Émile Burnouf,1866,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),7,4856097,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/cae/,cae,Cappeller's Sanskrit-English Dictionary,"Cappeller, Carl",1891,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),7,5327554,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/ccs/,ccs,Cappeller's Sanskrit-Wörterbuch,"Cappeller, Carl",1887,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),4,3593167,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/gra/,gra,Grassmann's Wörterbuch zum Rig-Veda,"Grassmann, Hermann",1873,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),4,6360807,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/gst/,gst,">Goldstücker's Dictionary, Sanskrit and English","Goldstücker, Theodor",1856,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),5,2674454,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/inm/,inm,Sörensen's Index to the Names in the {m}ahABArata,"Sörensen, Sören",1904-1925,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),9,7376005,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/lan/,lan,Lanman's Sanskrit Reader,Charles Rockwell Lanman,1906,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),4,1410181,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/lrv/,lrv,Vaidya Standard Sanskrit-English Dictionary,Lakshman Ramchandra Vaidya,1889,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),8,7131167,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/md/,md,Macdonell's Sanskrit-English dictionary,"Macdonell, Arthur Anthony",1893,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),4,6198092,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/mw/,mw,Monier-Williams' Sanskrit-English dictionary,"Monier-Williams, Monier",1899,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),9,51894878,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/mw72/,mw72,Monier-Williams's Sanskrit-English Dictionary,"Monier-Williams, Monier",1872,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),4,17196616,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
dicts/mwe/,mwe,Monier-Williams's English-Sanskrit Dictionary,"Monier-Williams, Monier",1851,public domain (pre-1930 publication; authors deceased 70+ years),CC BY-SA 4.0 (Cologne digitization layer),4,8420267,cc2d19927f0c39cd039f39e4a0fd585a8d3a7295
