headword_iast	headword_slp1	entry_id	page	body
a	a	1	001-a	1. {#a#}¦ stirps demonstrativa; v. gr. 270.
a	a	2	001-a	"2. {#a#}¦ (ut mihi videtur, a praec. v. gr. comp. 371.) particula negativa, quae vocabulis praefigitur per compositionem. Ante vocales ei additur {#n#} euphonicum (v. gr. 114, 667 et cf. gr. <lang n=""greek"">ἀ, ἀν</lang>, lat. {%in%}, goth. et germ. {%un%})."
aṃś	aMS	3	001-a	{#aMS#}¦ 10. {%P.%} ({#samAGAte#} {%K.%} {#viBAjane#} {%V.%}) coacervare, dividere. Scribitur etiam {#aMs#}.
aṃśa	aMSa	4	001-a	{#aMSa#}¦ {%m.%} (r. {#aMS#} s. {#a#}) 1) pars, portio. 2) humerus. SAK. 22.6.infr. (cf. germ. vet. {%ahsala%}, lat. {%axilla%}, v. sq, {#aMSala#}). Scribitur etiam {#aMsa#}.
aṃśala	aMSala	5	001-a	{#aMSala#}¦ (a praec. s. {#la#}) robustus. Scribitur etiam {#aMsala#}.
aṃśu	aMSu	6	001-a	{#aMSu#}¦ {%m.%} (r. {#aMS#} s. {#u#}) radius.
aṃśuka	aMSuka	7	001-a	{#aMSuka#}¦ {%n.%} pannus, vestis; {#stanAMSuka#} tunica pectoralis. UR. 61.2.
aṃśumat	aMSumat	8	001-a	{#aMSumat#}¦ (ab {#aMSu#} s. {#mat#}) 1) radiis praeditus. BH. 10.21. 2) {%m.%} sol.
aṃs	aMs	9	001-a	{#aMs#}¦ 10. {%P.%} v. {#aMS#}.
aṃsa	aMsa	10	001-a	{#aMsa#}¦ {%m.%} v. {#aMSa#} et cf. goth. {%amsa%} humerus.
aṃsala	aMsala	11	001-a	{#aMsala#}¦ (a praec. s. {#la#}) fortis, robustus. AM.
aṃh	aMh	12	001-a	{#aMh#}¦ 1. {%A.%} (grammatici scribunt {#ah#} v. gr. 110^{%a%}).) ire (v. {#aMhri#} pes et cf. {#aNG#}).
aṃhati	aMhati	13	001-a	{#aMhati#}¦ {%f.%} (rad. {#aMh#} s. {#ti#}, conserato charactere primae classis sicut in {#vasati#} q. v.) donum. AM.
aṃhas	aMhas	14	001-a	"{#aMhas#}¦ {%n.%} (r. {#aMh#} s. {#as#}) peccatum. AM. (cf. {#aGa, Agas#} et gr. <lang n=""greek"">ἄγος</lang>)."
aṃhri	aMhri	15	001-a	{#aMhri#}¦ {%m.%} (r. {#aMh#} s. {#ri#}) pes. AM. (cf. {#aNGri#}).
