headword_iast	headword_slp1	entry_id	page	body
a	a	1	001-1	1. {#a#}¦ {%Pron-Stamm der 3. Person.%}
a	a	2	001-1	2. {#a#},¦ {#an#} (˚—) {%negat. Präfix -un, vor Subst.%}, {%Adj., Adv., Partic. u. Ger.; selten vor%} {%Inf. und Verb. fin.%}
aṃśa	aMSa	3	001-1	{#a/MSa#}¦ {%m.%} Teil, Erbteil, Partei; {%N. eines Gottes.%} {#aMSena#} teilweise.
aṃśakalpanā	aMSakalpanA	4	001-1	{#aMSakalpanA#}¦ {%f.%}, {#aMsapradAna#} {%n.%} Erbteilung.
aṃśabhāj	aMSaBAj	5	001-1	{#aMSaBAj#}¦ teilhabend.
aṃśabhūta	aMSaBUta	6	001-1	{#aMSaBUta#}¦ einen Teil bildend.
aṃśu	aMSu	7	001-1	{#aMSu/#}¦ {%m.%} Somapflanze {%u.%} -saft; Strahl.
aṃśuka	aMSuka	8	001-1	{#aMSuka#}¦ {%n.%} Gewand. {#aMSukAnta#} {%m.%} -zipfel.
aṃśumant	aMSumant	9	001-1	{#aMSuma/nt#}¦ soma- o. strahlenreich; {%m.%} Sonne; {%Mannsname.%}
aṃsa	aMsa	10	001-1	{#a/Msa#}¦ {%m.%} Schulter.
aṃsakūṭa	aMsakUwa	11	001-1	{#aMsakUwa#}¦ {%m.%}, {#aMsapfzWa#} {%n.%} Achsel.
aṃsatra	aMsatra	12	001-1	{#a/Msatra#}¦ {%n.%} Panzer.
aṃsala	aMsala	13	001-1	{#aMsala/#}¦ kräftig, stark.
aṃsavartin	aMsavartin	14	001-1	{#aMsavartin#}¦ auf der Schulter befindlich.
aṃsavivartin	aMsavivartin	15	001-1	{#aMsavivartin#}¦ sich zur Schulter neigend.
aṃsavyāpin	aMsavyApin	16	001-1	{#aMsavyApin#}¦ bis zur Schulter reichend.
aṃhati	aMhati	17	001-1	{#aMhati/#}¦ {%f.%}, {#a/Mhas, aMhu/#} {%n.%} Enge, Not.
aṃhri	aMhri	18	001-1	{#aMhri#}¦ {%m.%} Fuss.
aka	aka	19	001-1	{#aka#}¦ {%m. das Suffix%} aka {%(g)%}
akaṇṭaka	akaRwaka	20	001-1	{#akaRwaka#}¦ dornen-, feindlos.
akathita	akaTita	21	001-1	{#akaTita#}¦ ungenannt, unbesprochen.
akaniṣṭha	akanizWa	22	001-1	{#a/kanizWa#}¦ {%m. Pl.%} ohne Jüngsten, gleich jung.
akampita	akampita	23	001-1	{#akampita#}¦ nicht zitternd, unerschrocken.
akaraṇa	akaraRa	24	001-1	{#akaraRa#}¦ {%n.%} Nichtthun, Unterlassung.
akaruṇa	akaruRa	25	001-1	{#akaruRa#}¦ mitleidlos, grausam.
akarṇa	akarRa	26	001-1	{#a/karRa#}¦ ohrenlos.
akartar	akartar	27	001-1	{#akartar#}¦ {%m.%} nicht handelnd.
akartavya	akartavya	28	001-1	{#akartavya#}¦ nicht zu thun; {%n.%} Unthat.
akarmaka	akarmaka	29	001-1	{#akarmaka#}¦ ohne Objecht, intransitiv.
akarmaṇya	akarmaRya	30	001-1	{#akarmaRya#}¦ unwirksam, unütz.
akalya	akalya	31	001-1	{#akalya#}¦ ungesund, krank.
akava	akava	32	001-1	{#a/kava#}¦ nicht karg {%(Pers. u. S.).%}
akavi	akavi	33	001-1	{#a/kavi#}¦ nicht weise.
akasmāt	akasmAt	34	001-1	{#akasmAt#}¦ ohne Grund, plötzlich.
akāṇḍa	akARqa	35	001-2	{#akARqa#}¦ unerwartet, plötzlich. {%Loc. adv.%}
akātara	akAtara	36	001-2	{#akAtara#}¦ unverzagt, beherzt.
akāma	akAma	37	001-2	{#akAma/#}¦ unverliebt, unlustig.
akāmatas	akAmatas	38	001-2	{#akAmatas#}¦ {%adv.%} unabsichtlich.
akāra	akAra	39	001-2	{#akAra#}¦ {%m.%} der Laut a.
akāraka	akAraka	40	001-2	{#akAraka#}¦ nichts ausrichtend. {%Abstr.%} {#˚tva#} {%n.%}
akāraṇa	akAraRa	41	001-2	{#akAraRa#}¦ grundlos; {%n.%} kein Grund. ˚—, {%Abl., Instr. u. Loc. adv.%}
akārya	akArya	42	001-2	{#akArya#}¦ nicht zu thun; {%n.%} Unthat.
akāla	akAla	43	001-2	{#akAla#}¦ {%m.%} Unzeit. ˚—, {%Loc. u.%} {#˚tas#} zur U.
akālahīnam	akAlahInam	44	001-2	{#akAlahInam#}¦ ohne Zeitverlust, sofort.
akiṃcana	akiMcana	45	001-2	{#akiMcana#}¦ ohne etwas, arm. {%Abstr.%} {#˚tA#} {%f.%}, {#˚tva#} {%n.%}
akīrti	akIrti	46	001-2	{#akIrti#}¦ {%f.%}, Unehre. {#˚kara#} verunehrend.
akīrtita	akIrtita	47	001-2	{#akIrtita#}¦ unerwähnt.
akutobhaya	akutoBaya	48	001-2	{#akutoBaya#}¦ sich vor nichts fürchtend.
akurvant	akurvant	49	001-2	{#akurvant#}¦ nicht thuend, unterlassend.
akula	akula	50	001-2	{#akula#}¦ {%u.%} {#˚lIna#} unedel. {%Abstr.%} {#akulatA#} {%f.%}
akuśala	akuSala	51	001-2	{#akuSala#}¦ unbeilvoll, schlimm, unglücklich, ungeschickt; {%n.%} Unheil. Übel.
akusumita	akusumita	52	001-2	{#akusumita#}¦ unaufgeblüht.
akūpāra	akUpAra	53	001-2	{#a/kUpAra#}¦ unbegrenzt; {%m.%} Meer.
akṛta	akfta	54	001-2	"{#a/kfta#}¦ ungethan, unbearbeitet, unvollkommen; <lbinfo n=""7""/> unaufgefordert."
akṛtajña	akftajYa	55	001-2	{#akftajYa#}¦ undankbar.
akṛtapuṇya	akftapuRya	56	001-2	{#akftapuRya#}¦ unglückselig.
akṛtapūrva	akftapUrva	57	001-2	{#akftapUrva#}¦ vorher nicht gethan.
akṛtabuddhi	akftabudDi	58	001-2	{#akftabudDi#}¦ von ungebildetem Verstande.
akṛtasaṃkalpa	akftasaMkalpa	59	001-2	{#akftasaMkalpa#}¦ ohne bestimmte Absicht.
akṛtasatkāra	akftasatkAra	60	001-2	{#akftasatkAra#}¦ unbewirtet.*
akṛtātman	akftAtman	61	001-2	{#akftAtman#}¦ von ungebildetem Geiste, roh.
akṛtārtha	akftArTa	62	001-2	{#akftArTa#}¦ unbefriedigt.
akṛtya	akftya	63	001-2	{#akftya#}¦ ={#akArya#}.
akṛtvā	akftvA	64	001-2	{#akftvA#}¦ ohne zu thun.
akṛtsna	akftsna	65	001-2	{#a/kftsna#}¦ unvollständig.
akṛpaṇa	akfpaRa	66	001-2	{#akfpaRa#}¦ ohne Klage, wohlgemut.
akṛṣīvala	akfzIvala	67	001-2	{#a/kfzIvala#}¦ nicht ackerbauend.
akṛṣṭa	akfzwa	68	001-2	{#a/kfzwa#}¦ ungepflügt; {%n.%} ungepflügter Boden.
akaitava	akEtava	69	001-2	{#akEtava#}¦ ungeheuchelt.
akopayant	akopayant	70	002-1	{#akopayant#}¦ nicht aufregend.
akta	akta	71	002-1	{#akta#}¦ s. {#aYj#}.
aktu	aktu	72	002-1	{#aktu/#}¦ {%m.%} Licht; Dunke, Nach. {%Instr. Pl.%} bei Nacht.
akra	akra	73	002-1	1. {#a/kra#}¦ unthätig.
akra	akra	74	002-1	2. {#akra/#}¦ {%m.%} Banner.
akrata	akrata	75	002-1	{#a/krata#}¦ {%u.%} {#a/kran#} {%s.%} 1. {#kar#}.
akriyā	akriyA	76	002-1	{#akriyA#}¦ {%f.%} Nichtthun, Unterlassung.
akrodha	akroDa	77	002-1	1. {#a/kroDa#}¦ {%m.%} das Nichtzürnen.
akrodha	akroDa	78	002-1	2. {#akroDa#}¦ nicht zornig.
akliṣṭa	aklizwa	79	002-1	{#aklizwa#}¦ unverkümmer, frishc.
akṣ	akz	80	002-1	{#akz#}¦ erreichen; {%p.p.%} {#azwa#}.
akṣa	akza	81	002-1	1. {#akza/#}¦ {%m.%} Würfel.
akṣa	akza	82	002-1	2. {#a/kza#}¦ {%m.%} Achse.
akṣa	akza	83	002-1	3. {#akza#}¦ {%m. (adj.%} —˚ {%f.%} {#ri) = akzi#}
akṣaṇvant	akzaRvant	84	002-1	{#akzaRva/nt#}¦ mit Augen begabt.
akṣata	akzata	85	002-1	{#a/kzata#}¦ unverlezt.
akṣatayoni	akzatayoni	86	002-1	{#akzatayoni#}¦ {%f.%} jungfräulich.
akṣatra	akzatra	87	002-1	{#akzatra#}¦ ohne die Kriegerkaste.
akṣan	akzan	88	002-1	{#akza/n#}¦ {%n.%} Auge.
akṣanaipuṇa	akzanEpuRa	89	002-1	{#akzanEpuRa#}¦ {%n.%} Würfelkunst.
akṣama	akzama	90	002-1	{#akzama#}¦ nicht ertragen könnend, unfähig zu ({%Loc., Inf. o.%} —˚); {%f.%} Ungeduld, Neid.
akṣamālā	akzamAlA	91	002-1	{#akzamAlA#}¦ {%u.%} {#˚likA#} {%f.%} Rosenkranz {%(zum%} {%Beten); Frauenname; Bein. der Arundhatī.%}
akṣaya	akzaya	92	002-1	{#akzaya#}¦ unvergänglich. {%Abstr.%} {#˚tA#} {%f.%}, {#˚tvA#} {%n.%}
akṣayya	akzayya	93	002-1	{#akzayya/#}¦ {%dass.%}
akṣara	akzara	94	002-1	{#akza/ra#}¦ unversieglich. {%n.%} Wort, Silbe; Schriftstück, Brief.
akṣaracchandas	akzaracCandas	95	002-1	{#akzaracCandas#}¦ {%n.%} Silbenstrophe.
akṣaravinyāsa	akzaravinyAsa	96	002-1	{#akzaravinyAsa#}¦ {%m.%} Schrift.
