headword_iast	headword_slp1	entry_id	page	body
a	a	1	001-a	"{#a#}¦ I. The letter {%ă,%} the first of the alphabet and the short vowel inherent in every consonant. See {#akAra#}. <div n=""P"">II. The pronominal theme which occurs in the declension of {#idam#} and is considered as a substitute for {#idam#} and {#etat#} qq. vv. <div n=""P"">III. ind. ({#nipAta#}) A particle, a shorter form of {#na#} (see also {#ana#} and {#anA#}); it is used <sup>1</sup> In composition with nouns, when it implies <sup>a.</sup> Negation. <sup>b.</sup> Privation or prohibition. <sup>c.</sup> Diminu- tion (i. e. a little). <sup>d.</sup> Deterioration. <sup>e.</sup> Similarity or comparison; in a few instances it has apparently become an expletive; cf. e. g. {#kupya#} and {#akupya, udAra#} and {#anudAra, eqamUka#} and {#aneqamUka#}. If the noun begins with a vowel, it assumes the form of {#an#}, as {#a#} and {#anta#} form {#ananta#}; this rule is neglected sometimes, if the vowel following the {#a#} happen to be a {#f#}; e. g. {#a#} and {#fRin#} form {#anfRin#} and sometimes {#afRin#}. <sup>2</sup> In con- junction with an inflected verb, when it implies blame or re- proach; e. g. {#a karozi vE tvaM jAlma#} ‘how badly thou dost (it), fool’. Accord. to an artificial E. from {#at#}, kṛt aff. {#qa#}. <div n=""P"">IV. ind. ({#nipAta#}) An interjection of pity. <div n=""P"">V. 1. m. ({#aH#}) <sup>1</sup> Vaiśvānara (in an Upan.). <sup>2</sup> Brahman (m.). <sup>3</sup> Viṣṇu. <sup>4</sup> Siva. 2. n. ({#am#}) A name of the (neuter) Brahman."
aṛṇin	afRin	2	001-a	{#afRin#}¦ Tatpur. m. f. n. ({#-RI-RinI-Ri#}) Free from debt or obligation; also {#anfRin#}. E. {#a#} neg. and {#fRin#}.
aṃś	aMS	3	001-a	{#aMS (aMSa-curAdi-parasmEpadin)#}¦ r. 10th cl. par. ({#aMSayati#} or {#aMSApayati-#} p. p. {#aMSita#}) To divide, to distribute.
aṃśa	aMSa	4	001-a	"{#aMSa#}¦ I. m. ({#-SaH#}) <sup>1</sup> Dividing, distributing. <sup>2</sup> A part. <sup>3</sup> A share or portion. <sup>4</sup> A fraction. <sup>5</sup> The numerator of a fraction. <sup>6</sup> A degree (of latitude or longitude, &c.). <sup>7</sup> The name of an Āditya. <sup>8</sup> (In music.) See {#aMSasvara#}. Also confounded with {#aMsa#} q. v. E. {#aMS#}, kṛt aff. {#GaY#}, or perhaps more correctly, {#am#}, uṇ(?) aff. {#Sa#}. <div n=""P"">II. m. n. ({#-SaH-Sam#}) The shoulder, the shoulder blade. (In this sense the word is more correctly written {#aMsa#} q. v.)"
aṃśaka	aMSaka	5	001-a	"{#aMSaka#}¦ I. m. ({#-kaH#}) <sup>1</sup> A part. <sup>2</sup> An heir, a kinsman, a relation. E. {#aMSa#}, taddh. aff. {#kan#}. <div n=""P"">II. n. ({#-kam#}) A day. E. {#aMS#}, kṛt aff. {#Rvul(?)#}."
aṃśakaraṇa	aMSakaraRa	6	001-a	{#aMSakaraRa#}¦ Tatpur. n. ({#-Ram#}) The dividing into shares. E. {#aMSa#} and {#karaRa#}.
aṃśabhāj	aMSaBAj	7	001-b	{#aMSaBAj#}¦ Tatpur. m. ({#BAk#}) An heir, a coheir, one who has a share or portion. E. {#aMS#} and {#BAj#}.
aṃśala	aMSala	8	001-b	{#aMSala#}¦ m. f. n. ({#-laH-lA-lam#}) Strong, stout, lusty. See {#aMsala#}.
aṃśavat	aMSavat	9	001-b	{#aMSavat#}¦ m. ({#-vAn#}) A species of the Soma plant. E. {#aMSa#}, taddh. aff. {#matup#}.
aṃśasavarṇana	aMSasavarRana	10	001-b	{#aMSasavarRana#}¦ Tatpur. n. ({#-nam#}) Assimilation of fractions, ren- dering fractions homogeneous, reduction of them to uni- formity. E. {#aMSa#} and {#savarRana#}.
aṃśasvara	aMSasvara	11	001-b	{#aMSasvara#}¦ Karmadh. m. ({#-raH#}) (In music.) The tonic or modal note. It is defined as ‘the note which displays the pecu- liar melody and to which all the others are subordinate’. Also written {#aMsasvara#}. E. {#aMSa#} and {#svara#}.
aṃśahara	aMSahara	12	001-b	{#aMSahara#}¦ Tatpur. m. ({#-raH#}) A sharer, a divider, a coheir. E. {#aMSa#} and {#hara#}.
aṃśahārin	aMSahArin	13	001-b	{#aMSahArin#}¦ Tatpur. m. ({#-rI#}) A sharer, a coheir. E. {#aMSa#} and {#hArin#}.
aṃśāṃśi	aMSAMSi	14	001-b	{#aMSAMSi#}¦ Bahuvr. or Avyayībh. ind. Share by share. E. {#aMSa#} repeated, samāsānta aff. {#ic#}.
aṃśin	aMSin	15	001-b	{#aMSin#}¦ m. ({#-SI#}) A sharer, a coheir. E. {#aMSa#}, taddh. aff. {#ini#}.
aṃśu	aMSu	16	001-b	{#aMSu#}¦ m. ({#-SuH#}) <sup>1</sup> A ray of light, a sun- or moon-beam. <sup>2</sup> The sun. <sup>3</sup> Light, splendour, effulgence. <sup>4</sup> Any thing minute or pointed (as a sun-beam). <sup>5</sup> A small end of thread, a small filament &c. <sup>6</sup> Dress, decoration. <sup>7</sup> The name of one of the Grahas (q. v.) which serve for making libations with the juice of the Soma plant. <sup>8</sup> The name of a Rishi. <sup>9</sup> The name of a prince, son of Puruhotra. E. {#aMS#}, uṇ. aff. {#ku#}, or {#am#}, uṇ. aff. {#ku#}, āgama {#Suk#}.
aṃśuka	aMSuka	17	001-b	{#aMSuka#}¦ n. ({#-kam#}) <sup>1</sup> Fine cloth, muslin. <sup>2</sup> Cloth in general. <sup>3</sup> A mantle, a wrapper, a linen garment worn round the upper part of the body. <sup>4</sup> White cloth. <sup>5</sup> The leaf of the Laurus Cassia. E. {#aMSu#}, taddh. aff. {#ka#}. Acc. to another E. a Tatpur. composed of {#aMSu#} and {#ka#} ({#kAS#}, kṛt aff. {#qa#}).
aṃśujāla	aMSujAla	18	001-b	{#aMSujAla#}¦ Tatpur. n. ({#-lam#}) <sup>1</sup> A collection or blaze of light. <sup>2</sup> A parcel or pencil of rays. E. {#aMSu#} and {#jAla#}.
aṃśudhara	aMSuDara	19	001-b	{#aMSuDara#}¦ Tatpur. m. ({#-raH#}) The sun. E. {#aMSu#} and {#Dara#}.
aṃśupaṭṭa	aMSupawwa	20	001-b	{#aMSupawwa#}¦ Tatpur. n. ({#-wwam#}) A peculiar kind of fine cloth made of bark. E. {#aMSu#} and {#pawwa#}.
aṃśupati	aMSupati	21	002-a	{#aMSupati#}¦ Tatpur. m. ({#-tiH#}) The sun. E. {#aMSu#} and {#pati#}.
aṃśubhartṛ	aMSuBartf	22	002-a	{#aMSuBartf#}¦ Tatpur. m. ({#-rtA#}) The sun. E. {#aMSu#} and {#Bartf#}.
aṃśumat	aMSumat	23	002-a	"{#aMSumat#}¦ I. m. f. n. ({#-mAn-matI-mat#}) <sup>1</sup> Radiant, luminous. <sup>2</sup> Having small filaments. <sup>3</sup> Acuminated, pointed. <div n=""P"">II. m. ({#-mAn#}) <sup>1</sup> The sun. <sup>2</sup> A species of the Soma plant. <sup>3</sup> A prince of the solar race, son of Asamanjas, grandson of Sāgara and father of Dilīpa. <sup>4</sup> A descendant of Kratha. <sup>5</sup> A Ṛṣi.--f. ({#-matI#}) <sup>1</sup> A name of the celestial river Yamunā. <sup>2</sup> A plant (Hedysarum Gangeticum). E. {#aMSu#}, taddh. aff. {#matup#}."
aṃśumatphalā	aMSumatPalA	24	002-a	{#aMSumatPalA#}¦ Bahuvr. f. ({#-lA#}) The plantain (Musa paradisiaca). E. {#aMSumat#} and {#Pala#}.
aṃśumālā	aMSumAlA	25	002-a	{#aMSumAlA#}¦ Tatpur. f. ({#-lA#}) A garland of light, a halo. E. {#aMSu#} and {#mAlA#}.
aṃśumālin	aMSumAlin	26	002-a	{#aMSumAlin#}¦ m. ({#-lI#}) The sun. E. {#aMSumAlA#}, taddh. aff. {#ini#}.
aṃśula	aMSula	27	002-a	{#aMSula#}¦ m. ({#-laH#}) A name of the sage Chāṇakya. E. {#aMSu#}, taddh. aff. {#lac(?)#}; properly meaning, radiant, splendid.
aṃśuvāṇa	aMSuvARa	28	002-a	{#aMSuvARa#}¦ Bahuvr. m. ({#-RaH#}) The sun. E. {#aMSu#} and {#vARa#}.
aṃśuhasta	aMSuhasta	29	002-a	{#aMSuhasta#}¦ Bahuvr. m. ({#-staH#}) The sun. E. {#aMSu#} and {#hasta#}.
aṃs	aMs	30	002-a	{#aMs (aMsa-curAdi-parasmEpadin)#}¦ r. 10th cl. par. ({#aMsayati#} or {#aMsA-#} {#payati-#} p. p. {#aMsita#}) <sup>1</sup> To divide, to distribute. With {#vi#}, <sup>1</sup> To divide. <sup>2</sup> To make powerless, to ward off (as the force of a blow). See {#aMS#}.
aṃsa	aMsa	31	002-a	"{#aMsa#}¦ I. m. n. ({#-saH-sam#}) 1. The shoulder, the scapula; it is mentioned in medic. amongst those {#marman#} (q. v.) the wounding of which produces lameness or palsy. 2. (m.) One of the angles of the {#vedi#} (q. v.), compared to a shoulder. E. {#am#}, uṇ. aff. {#san#}. <div n=""P"">II. m. ({#-saH#}) 1. A part, a portion &c. See {#aMSa#}. (In this mean- ing the word is more correctly written {#aMSa#}.) 2. The name of a king, acc. to some, a son of Anu. E.(?)."
aṃsakūṭa	aMsakUwa	32	002-a	{#aMsakUwa#}¦ Tatpur. m. ({#-waH#}) A bull's hump, the protuberance between the shoulders of the Indian ox. E. {#aMsa#} and {#kUwa#}.
aṃsatra	aMsatra	33	002-a	{#aMsatra#}¦ Tatpur. n. ({#-tram#}) (ved.) <sup>1</sup> Armour, mail. <sup>2</sup> A bow. E. {#aMsa#} and {#tra#}; also derived, though without probability, from {#aMhas#} (changed to {#aMsa#}) and {#tra#}, as preserving from evil.
aṃsaphalaka	aMsaPalaka	34	002-a	{#aMsaPalaka#}¦ Tatpur. m. ({#-kaH#}) (In medic.) The upper part of the spinal column; it is mentioned amongst those {#marman#} (q. v.) the wound- ing of which produces lameness or palsy. E. {#aMsa#} and {#Palaka#}.
aṃsabhāra	aMsaBAra	35	002-a	{#aMsaBAra#}¦ Tatpur. m. ({#-raH#}) A yoke on the shoulder for car- rying burthens with. Also {#aMseBAra#} q. v. E. {#aMsa#} and {#BAra#}.
aṃsabhārika	aMsaBArika	36	002-a	{#aMsaBArika#}¦ m. f. n. ({#-kaH-kI-kam#}) One who carries burthens with a yoke on the shoulder. Also {#aMsoBArika#}. E. {#aMsaBAra#}, taddh. aff. {#zWan#}.
aṃsala	aMsala	37	002-a	{#aMsala#}¦ m. f. n. ({#-laH-lA-lam#}) Strong, stout, lusty. E. {#aMsa#}, taddh. aff. {#lac#}, also written {#aMSala#}.
aṃsavat	aMsavat	38	002-a	{#aMsavat#}¦ m. f. n. ({#-vAn-vatI-vat#}) Feeble, weak. E. {#aMsa#}, taddh. aff. {#matup#}.
aṃsebhāra	aMseBAra	39	002-a	{#aMseBAra#}¦ Tatpur. m. ({#-raH#}) A yoke on the shoulder for carry- ing burthens with. Also {#aMsaBAra#} q. v. E. {#aMsa#} (loc.) and {#BAra#}.
aṃsebhārika	aMseBArika	40	002-a	{#aMseBArika#}¦ m. f. n. ({#-kaH-kI-kam#}) One who carries burthens with a yoke on the shoulder. Also {#aMsaBArika#}. E. {#aMseBAra#}, taddh. aff. {#zWan#}.
aṃsya	aMsya	41	002-a	{#aMsya#}¦ m. f. n. ({#-syaH-syA-syam#}) Belonging or referring to the shoulder. E. {#aMsa#}, taddh. aff. {#yat#}.
aṃh	aMh	42	002-a	"{#aMh#}¦ I. ({#ahi-BvAdi-udAtta-anudAttet#}) r. 1st cl. ātm. ({#aMhate-#} {#AnaMhe-aMhitA-aMhizyate-AMhizwa#}.--Caus. {#aMhayati-AYjihat#}. --Des. {#aYjihizate#}). To go. See {#aNG#}. [Page002-b+ 56] <div n=""P"">II. ({#ahi-curAdi-parasmEpadin#}) r. 10th cl. par. ({#aMhaya-#} {#ti#} p. p. {#aMhita#}) To shine, or according to some, to speak. <div n=""P"">The radical {#aMh#} is considered in some derivations as a substitute for {#han#}; see {#aMhati, aMhas, aMhu#} &c."
aṃhati	aMhati	43	002-b	"{#aMhati#}¦ f. I. ({#-tiH#}) <sup>1</sup> Pain, distress. <sup>2</sup> Sickness, disease. <div n=""P"">II. ({#-tiH#} and {#-tI#}) A gift, a donation. E. {#aMh#}, uṇ. aff. {#ati; aMh#} being considered here as a substitute for {#han#} . {#aMhatI#} with fem. aff. {#NIz#}."
aṃhas	aMhas	44	002-b	{#aMhas#}¦ n. ({#-haH#}) Sin, evil. E. {#am#}, uṇ. aff. {#asun#} and āgama {#huk#} or according to others from {#aMh#} considered as a substitute for {#han#}. See {#aNGas#}.
aṃhasaspati	aMhasaspati	45	002-b	{#aMhasaspati#}¦ Tatpur. m. ({#-tiH#}) The intercalary month of the Hindu year. E. {#aMhas#} (gen.) and {#pati#}.
aṃhasvat	aMhasvat	46	002-b	{#aMhasvat#}¦ m. f. n. ({#-svAn-svatI-svat#}) Sinful, wicked. E. {#aMhas#}, taddh. aff. {#matup#}.
aṃhiti	aMhiti	47	002-b	{#aMhiti#}¦ f. ({#-tiH#}) A gift or donation. E. See {#aMhati, iw#} being inserted.
aṃhu	aMhu	48	002-b	{#aMhu#}¦ (ved.) I. m. ({#-huH#}) <sup>1</sup> Wicked, sinful, distressed. <sup>2</sup> The name of an Asura. II. n. ({#-hu#}) Distress. III. n. f. ({#-hu-huH#}) Puden- dum muliebre. E. ({#-aMh#},) uṇ. aff. {#u#}.
aṃhubhedī	aMhuBedI	49	002-b	{#aMhuBedI#}¦ Bahuvr. f. ({#-dI#}) (ved.) Whose female parts are broken (in coition; an ep. of a mare). E. {#aMhu#} and {#BedI#} inst. of {#BedyA#}.
aṃhura	aMhura	50	002-b	{#aMhura#}¦ m. ({#-raH#}) (ved.) Wicked, sinful. E. {#aMh#}, uṇ. aff. {#urac#}.
aṃhūraṇa	aMhUraRa	51	002-b	{#aMhUraRa#}¦ (ved.) I. m. f. n. ({#-RaH-RA-Ram#}) Sinful. II. n. ({#-Ram#}) Sin, evil. E. {#aMhUra#} ({#aMh#}, uṇ. aff. {#Ura#}), taddh. aff. {#na#}.
aṃhomuc	aMhomuc	52	002-b	{#aMhomuc#}¦ Tatpur. m. f. n. ({#-k#}) (ved.) Freeing from sin, evil. E. {#aMhas#} and {#muc#}.
aṃhoyu	aMhoyu	53	002-b	{#aMhoyu#}¦ Tatpur. f. ({#-yuH#}) (ved.) Freed from sin or evil; an ep. of {#tanU#} ‘body’. E. {#aMhas#} and {#yu#}.
aṃhri	aMhri	54	002-b	{#aMhri#}¦ m. (according to some also n.) ({#-hriH-hri#}) <sup>1</sup> The foot. <sup>2</sup> The root of a tree. See {#aNGri#}. E. {#aMh#}, uṇ. aff. {#krin#}.
aṃhripa	aMhripa	55	002-b	{#aMhripa#}¦ Tatpur. m. ({#-paH#}) A tree. E. {#aMhri#} and {#pa#}. See {#aNGripa#}.
aṃhriskandha	aMhriskanDa	56	002-b	{#aMhriskanDa#}¦ Tatpur. m. ({#-nDaH#}) (In medic.) The same as {#kUrcaSiras#} i. e. the part under the ancle joint on either side of the foot; it is mentioned amongst those {#marman#} (q. v.) the wounding of which produces swelling and pain. Also {#aNGriskanDa#}. E. {#aMhri#} and {#skanDa#}.
ak	ak	57	002-b	{#ak (aka-BvAdi-GawAdi-udAtta-udAttet-mit)#}¦ r. 1st cl. par. ({#akati-Aka-akitA-AkIt#}.--Caus. {#akayati#}) To wind or move tortuously. See also {#ag#}.
aka	aka	58	002-b	{#aka#}¦ Tatpur. n. ({#-kam#}) <sup>1</sup> Pain, affliction. <sup>2</sup> Sin. E. {#a#} neg. and {#ka#}.
akaca	akaca	59	002-b	"{#akaca#}¦ Bahuvr. I. m. f. n. ({#-caH-cA-cam#}) Bald, destitute of hair. <div n=""P"">II. m. ({#-caH#}) A name of Ketu, the dragon's tail, or descending node. E. {#a#} priv. and {#kaca:#} this applies to Ketu, as the symbol of the asterism is a headless trunk."
akaṇṭaka	akaRwaka	60	002-b	{#akaRwaka#}¦ Bahuvr. m. f. n. ({#-kaH-kA-kam#}) Free from thorns, literally or metaphorically (as from enemies). E. {#a#} priv. and {#kaRwaka#}.
akaniṣṭha	akanizWa	61	002-b	"{#akanizWa#}¦ Tatpur. I. m. f. n. ({#-zWaH-zWA-zWam#}) Not the youngest. <div n=""P"">II. m. ({#-zWaH#}) A deified saint according to the Bauddhas. E. {#a#} neg. and {#kanizWa#}."
akaniṣṭhaga	akanizWaga	62	002-b	{#akanizWaga#}¦ Tatpur. m. ({#-gaH#}) A deified saint according to the Bauddhas. E. {#akanizWa#} and {#ga#}.
akapīvat	akapIvat	63	002-b	{#akapIvat#}¦ Tatpur. m. ({#-vAn#}) The name of one of the seven Ṛṣis or Sages during the reign of Tāmasa or the fourth Manu. E. {#a#} neg. and {#kapIvata#}.
akampita	akampita	64	003-a	"{#akampita#}¦ Tatpur. I. m. f. n. ({#-taH-tA-tam#}) Unshaken, firm, not agitated or trembling. <div n=""P"">II. m. ({#-taH#}) The name of a Jaina saint, one of the pupils of the last Tīrthakara and one of the eleven chiefs of the Gaṇas or companies of the Jaina Ṛṣis. E. {#a#} neg. and {#kampita#}."
akara	akara	65	003-a	"{#akara#}¦ I. Tatpur. m. f. n. ({#-raH-rA-ram#}) One who does not act, inactive. E. {#a#} neg. and {#kara#}. <div n=""P"">II. Bahuvr. m. f. n. ({#-raH-rA-ram#}) <sup>1</sup> Handless, maimed. <sup>2</sup> Exempt from tax or duty, privileged. f. ({#-rA#}) Emblic myrobalan (Phyllanthus emblica). E. {#a#} priv. and {#kara#}."
akaraṇi	akaraRi	66	003-a	{#akaraRi#}¦ Tatpur. f. ({#-RiH#}) Failure, disappointment. (It is used only as an imprecation, as {#tasyAkaraRirevAstu#} ‘may he fail’.) E. {#a#} neg. and {#karaRi#}.
akaruṇa	akaruRa	67	003-a	{#akaruRa#}¦ Bahuvr. m. f. n. ({#-RaH-RA-Ram#}) Unfeeling, void of compassion or tenderness. E. {#a#} neg. and {#karuRA#}.
akarkaśa	akarkaSa	68	003-a	{#akarkaSa#}¦ Tatpur. m. f. n. ({#-SaH-SA-Sam#}) Soft, not hard. E. {#a#} neg. and {#karkaSa#}.
akarṇa	akarRa	69	003-a	{#akarRa#}¦ Bahuvr. m. f. n. ({#-rRaH-rRA-rRam#}) <sup>1</sup> Earless. <sup>2</sup> Deaf. E. {#a#} priv. and {#karRa#}.
akarṇya	akarRya	70	003-a	{#akarRya#}¦ Tatpur. m. f. n. ({#-rRyaH-rRyA-rRyam#}) <sup>1</sup> Not being in the ears. <sup>2</sup> Not fit for the ears. <sup>3</sup> Different from what is in or fit for the ears. E. {#a#} neg. and {#karRya#}.
akartana	akartana	71	003-a	{#akartana#}¦ Tatpur.(?) m. ({#-naH#}) A dwarf. E.(?). This word seems doubtful and may be perhaps a misreading of {#vartana#} q. v.
akarmaka	akarmaka	72	003-a	{#akarmaka#}¦ Bahuvr. m. ({#-kaH#}) (In grammar.) Having no direct object, intransitive (as a verb). See {#akarman#}. E. {#akarman#}, samāsānta aff. {#kap#}.
akarmakṛt	akarmakft	73	003-a	"{#akarmakft#}¦ Tatpur. m. f. n. ({#-kft#}) I. Free from action, neces- sary as vital or essential as religious. E. {#a#} neg. and {#karmakft#}. <div n=""P"">II. Committing improper acts. E. {#akarman#} and {#kft#}."
akarmaṇya	akarmaRya	74	003-a	{#akarmaRya#}¦ Tatpur. m. f. n. ({#-RyaH-RyA-Ryam#}) Not to be done, improper. E. {#a#} neg. and {#karmaRya#}.
akarman	akarman	75	003-a	"{#akarman#}¦ I. Bahuvr. m. f. n. ({#-rmA-rmA-rma#}) <sup>1</sup> Without work, idle, unoccupied. <sup>2</sup> Unfit to work, inefficient. <sup>3</sup> Degraded, no longer performing essential rites. <sup>4</sup> (In grammar.) Having no direct object, intransitive (as a verb). See {#akarmaka#}, E. {#a#} priv. and {#karman#}. <div n=""P"">II. Tatpur. n. ({#-rma#}) <sup>1</sup> Absence of occupation. <sup>2</sup> Loss or neglect of essential observances. <sup>3</sup> Improper act, crime, offence. E. {#a#} neg. and {#karman#}."
akarmabhoga	akarmaBoga	76	003-a	{#akarmaBoga#}¦ Tatpur. m. ({#-gaH#}) The renunciation of reward for virtuous actions, the liberation of the soul from the fruits of action, that is, its absorption into the divine essence which releases it from future transmigration and from the trammels of matter, bestowing the highest state of future bliss. E. {#a#} neg. and {#karmaBoga#}.
akarmānvita	akarmAnvita	77	003-a	"{#akarmAnvita#}¦ Tatpur. m. f. n. ({#-taH-tA-tam#}) I. <sup>1</sup> Without work, idle, unoccupied. <sup>2</sup> No longer performing essential rites, degraded. E. {#a#} neg. and {#karmAnvita#}. <div n=""P"">II. Committing improper acts. E. {#akarman#} and {#anvita#}."
akala	akala	78	003-a	{#akala#}¦ Bahuvr. m. f. n. ({#-laH-lA-lam#}) Being without parts, whole, entire. E. {#a#} priv. and {#kalA#}.
akalka	akalka	79	003-a	"{#akalka#}¦ Bahuvr. I. m. f. n. ({#-lkaH-lkA-lkam#}) <sup>1</sup> Clear, clean. <sup>2</sup> Free from sediment. <sup>3</sup> Pure, sinless. <div n=""P"">II. f. ({#-lkA#}) Moonlight. E. {#a#} priv. and {#kalka#}."
akalkatā	akalkatA	80	003-b	{#akalkatA#}¦ f. ({#-tA#}) Purity, honesty. E. {#akalka#}, taddh. aff. {#tal#}.
akalkana	akalkana	81	003-b	{#akalkana#}¦ Bahuvr. m. f. n. ({#-naH-nA-nam#}) Humble, not proud. (This word is sometimes written {#akalkala#}.) E. {#a#} priv. and {#kalkana#}.
akalpa	akalpa	82	003-b	{#akalpa#}¦ Bahuvr. m. ({#-lpaH#}) Uncontrolled (lit. not subject to rules or precepts; a vaidik epithet of Indra). E. {#a#} priv. and {#kalpa#}.
akalmāṣa	akalmAza	83	003-b	{#akalmAza#}¦ Tatpur. m. ({#-zaH#}) Name of a son of Tāmasa or the fourth Manu. E. {#a#} priv. and {#kalmAza#}.
akalyāṇa	akalyARa	84	003-b	"{#akalyARa#}¦ Tatpur. I. m. f. n. ({#-RaH-RI-Ram#}) Unlucky, inauspicious. <div n=""P"">II. n. ({#-Ram#}) Bad luck. E. {#a#} neg. and {#kalyARa#}."
akava	akava	85	003-b	{#akava#}¦ Tatpur. m. f. n. ({#-vaH-vA-vam#}) (ved.) Not contemptible. not to be despised, superior. E. {#a#} neg. and {#kava#}.
akavāri	akavAri	86	003-b	"{#akavAri#}¦ m. f. ({#-ri-rI#}) (ved.) Explained either as I. Tatpur. 1. Not having contemptible enemies--or--2. Having obtained superiority. E. 1. {#a#} neg. and {#kava-ari#} (enemy). 2. {#akava#} and {#ari#} (going to, obtaining); or as <div n=""P"">II. Bahuvr. Having enemies who are not to be despised. E. {#akava#} and {#ari#} (enemy)."
akaśāya	akaSAya	87	003-b	{#akaSAya#}¦ Tatpur.(?) m. ({#-yaH#}) A proper name; cf. {#Aka-#} {#SAyeya#}. E. unknown.
akasmāt	akasmAt	88	003-b	{#akasmAt#}¦ Tatpur. ind. <sup>1</sup> Without a cause, without a where- fore. <sup>2</sup> Immediately, instantly, presently. <sup>3</sup> Suddenly, at once. E. {#a#} neg. and {#kasmAt#}, the fifth case of {#kim#}.
akāṇḍa	akARqa	89	003-b	{#akARqa#}¦ Bahuvr. m. f. n. ({#-RqaH-RqA-Rqam#}) Sudden, un- expected. {#akARqe#} suddenly. E. {#a#} neg. and {#kARqa#}.
akāṇḍapātajāta	akARqapAtajAta	90	003-b	{#akARqapAtajAta#}¦ Tatpur. m. f. n. ({#-taH-tA-tam#}) Perishing suddenly after birth, dying as soon as born. E. {#akARqa#}, and {#pAta-jAta#}.
akāma	akAma	91	003-b	"{#akAma#}¦ I. Tatpur. m. ({#-maH#}) Want of desire, love, intention &c. (See {#kAma#}.) E. {#a#} neg. and {#kAma#}. <div n=""P"">II. Bahuvr. m. f. n. ({#-maH-mA-mam#}) <sup>1</sup> One who has no desire, no love. (See {#kAma#}.) <sup>2</sup> Unwilling, reluctant. <sup>3</sup> Un- intentional. <sup>4</sup> (In vaid. grammar; m. sc. {#sanDi#}) The Sandhi which causes the {#visarjanIya#} (q. v.) to be dropped, after it has become {#r#} before a following {#r#}. E. {#a#} priv. and {#kAma#}."
akāmakarśana	akAmakarSana	92	003-b	{#akAmakarSana#}¦ Tatpur. m. ({#-naH#}) (ved.) Not disappointing de- sires. E. {#a#} neg. and {#kAma-karSana#}.
akāmatas	akAmatas	93	003-b	{#akAmatas#}¦ Tatpur. ind. <sup>1</sup> Unwillingly, reluctantly. <sup>2</sup> Unin- tentionally. E. {#a#} neg. and {#kAmatas#}.
akāya	akAya	94	003-b	{#akAya#}¦ Bahuvr. m. f. n. ({#-yaH-yA-yam#}) Having no body. E. {#a#} priv. and {#kAya#}.
akāra	akAra	95	003-b	{#akAra#}¦ m. ({#-raH#}) The letter {#a#}. E. Acc. to the native etym. {#a#}, kṛt aff. {#kAra#} (v. s. v.).
akāraṇa	akAraRa	96	003-b	"{#akAraRa#}¦ I. Tatpur. n. ({#-Ram#}) Absence or non-existence of a cause. E. {#a#} neg. and {#kAraRa#}. <div n=""P"">II. Bahuvr. m. f. n. ({#-RaH-RA-Ram#}) Causeless. (Used also adverb. {#-Ram#} (Causelessly.) E. {#a#} priv. and {#kAraRa#}."
akārin	akArin	97	003-b	{#akArin#}¦ Tatpur. m. f. n. ({#-rI-riRI-ri#}) Not doing. (Only to be used of beings devoid of intellect.) E. {#a#} neg. and {#kArin#}.
akārṇaveṣṭakika	akArRavezwakika	98	003-b	{#akArRavezwakika#}¦ m. f. n. ({#-kaH-kI-kam#}) Not fit for earrings (as a face, which would not look well with earrings). E. {#a#} neg. and {#kArRavezwakika#}.
akārya	akArya	99	003-b	"{#akArya#}¦ Tatpur. I. m. f. n. ({#-ryaH-ryA-ryam#}) Not to be done, improper. <div n=""P"">II. n. ({#-ryam#}) An improper, wicked act. E. {#a#} neg. and {#kArya#}."
akāryakārin	akAryakArin	100	003-b	"{#akAryakArin#}¦ Tatpur. m. f. n. ({#-rI-riRI-ri#}) I. One who does not what ought to be done. E. {#a#} neg. and {#kAryakArin#}. <div n=""P"">II. One who does what ought not to be done, one who acts improperly. E. {#akArya#} and {#kArin#}."
