headword_iast	headword_slp1	entry_id	page	body
a	a	2	1-282-a	<hom>2.</hom> {#a˚#}¦, {#asvaptum#} <ls>TĀṆḌYA-BR. 10,4,4</ls>.
aṃśa	aMSa	3	1-282-a	{#aMSa#}¦ 1〉 {#kenAMSena#} so <ab>v. a.</ab> {%in welchem Stücke ?%} <ls>DAŚAK. 51,7</ls>. — 8〉 {%Nenner eines Bruchs%}.
aṃśasavarṇana	aMSasavarRana	4	1-282-a	{#aMSasavarRana#}¦ <lex>n.</lex> {%das Reduciren von Brüchen auf einen gemeinschaftlichen Nenner%} <ls>LĪLĀV. S. 8</ls>.
aṃśasvara	aMSasvara	5	1-282-a	{#aMSasvara#}¦ <lex>m.</lex> {%Haupt-%} oder {%Leitton in einem Musikstücke%} <ls>S. S. S. 34</ls>.
aṃśu	aMSu	6	1-282-a	"{#aMSu/#}¦ 1〉 auch {%eine <ab>best.</ab>%} <is>Soma</is>-{%Libation%} <ls>ŚAT. BR. 4,1,1,2</ls>. <ls n=""ŚAT. BR. 4,"">6,1,1. fgg.</ls> {#aMSuvat#} <lex>Adv.</lex> <ls>KĀTY. ŚR. 12,5,19</ls>. <ls n=""KĀTY. ŚR."">15,8,22</ls>. {#aMSucamasa#} <lex>m.</lex> <ls n=""KĀTY. ŚR."">22,8,23</ls>. — 4〉 {%Faden%} <ls>CARAKA 4,1</ls>."
aṃśudhāraya	aMSuDAraya	7	1-282-a	{#aMSuDAraya#}¦ <lex>m.</lex> {%Lampe%} <ls>MAITRYUP. 6,35</ls>.
aṃśūdaka	aMSUdaka	8	1-282-a	"{#aMSUdaka#}¦ <lex>n.</lex> {%Wasser, das den Strahlen der Sonne oder des Mondes ausgesetzt war,%} <ls>BHĀVAPR. 3,15</ls>. <ls n=""BHĀVAPR. 3,"">16</ls>."
aṃsadaghna	aMsadaGna	9	1-282-a	{#aMsadaGna/#}¦ <lex>Adj.</lex> (<lex>f.</lex> {#A/#}) {%bis zur Schulter reichend%} <ls>ŚAT. BR. 14,1,3,10</ls>.
aṃhomuc	aMhomuc	10	1-282-a	{#aMhomuc#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines <is>Ṛṣi</is> <ls>ĀRṢ. BR.</ls>
akaṇṭha	akaRWa	11	1-282-a	{#akaRWa#}¦ auch {%keine Stimme habend, heiser%} <ls>Spr. 4913</ls>.
akata	akata	12	1-282-a	{#*akata#}¦ <lex>Adj.</lex> <ls>P. 5,1,121</ls>.
akatthana	akatTana	13	1-282-a	{#akatTana#}¦ 1〉 <lex>Adj.</lex> {%nicht prahlend%} <ls>MBH. 3,45,10</ls>. — 2〉 <lex>n.</lex> auch {%vieles Reden%} <ls>SUŚR. 2,363,13</ls>.
akapila	akapila	14	1-282-a	{#akapila#}¦ <lex>Adj.</lex> (<lex>f.</lex> {#A#}) {%nicht bräunlich%} <ls>HEMĀDRI 1,681,17</ls>.
akampita	akampita	15	1-282-a	{#akampita#}¦ auch {%nicht in eine zitternde Bewegung versetzt%}.
akampya	akampya	16	1-282-a	{#akampya#}¦ <lex>Adj.</lex> {%nicht zum Zittern zu bringen, — von der Stelle zu rücken%}.
akarāla	akarAla	17	1-282-a	{#akarAla#}¦ <lex>Adj.</lex> (<lex>f.</lex> {#A#}) 1〉 {%nicht schartig%} <ls>SUŚR. 1,27,14</ls>. — 2〉 {%sanft, milde%}. Augen <ls>BHĀG. P. 3,13,28</ls>.
akarṇaprāvṛta	akarRaprAvfta	18	1-282-a	{#akarRaprAvfta#}¦ <lex>Adj.</lex> {%bis zu den Ohren exclusive verhüllt%} <ls>ĀPAST.</ls> im <ls><ab>Comm.</ab> zu TĀṆḌYA-BR. 8,7,7</ls>.
akalita	akalita	19	1-282-a	{#akalita#}¦ <lex>Adj.</lex> {%unbekannt, unbestimmbar%} <ls>MĀLATĪM. 40,3 (96,1)</ls>. <ls>KATHĀS. 123,339</ls>.
